outcome_name,marker1_name,marker2_name,combination_type,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
Diabetes,BUN Kidney (mg/dL),HDL Cholesterol (mg/dL),Difference,0.6478011809745706,4.038935666026649e-39,3775.104399481409,0.24918582161968042,1.0458634416729423e-11,3926.6843483383163,-0.6117079698817207,7.522741515819667e-32,3812.4612806481323,37.35688116672327,5.7020268226258585e-37,3.8773782393855834e-35,True,True
Diabetes,HDL Cholesterol (mg/dL),BUN Kidney (mg/dL),Difference,-0.6478011809745706,4.038935666026649e-39,3775.104399481409,-0.6117079698817207,7.522741515819667e-32,3812.4612806481323,0.24918582161968042,1.0458634416729423e-11,3926.6843483383163,37.35688116672327,5.7020268226258585e-37,3.8773782393855834e-35,True,True
Hypertension,Diastolic BP (mmHg),Potassium (mmol/L),Ratio,0.37559781852157204,4.5381168024927124e-29,5358.762387522237,0.3218516868958257,1.7030660949902965e-21,5396.09296891699,-0.18227582989262114,3.5642581387985135e-08,5459.362271526071,37.3305813947527,4.1099925758424564e-27,4.3565921303930035e-25,True,True
High Cholesterol,HDL Cholesterol (mg/dL),ALT Liver Enzyme (U/L),Ratio,-0.36461352083343346,4.625291181113263e-20,5671.355196024769,-0.2554085668501814,7.947158576226647e-13,5708.286808079307,0.1736978371829601,1.0613152588858963e-07,5733.837401928227,36.931612054538164,2.7074875206516663e-18,4.4402795338687324e-16,True,True
Hypertension,Sodium (mmol/L),hs-CRP Inflammation (mg/L),Ratio,-0.40181203351696143,6.67759535608824e-20,5639.773022600502,-0.019492357357724092,0.5388438195061804,5736.143436853416,0.27314866208721256,4.122460511361173e-12,5675.951259077878,36.17823647737532,3.838617689727372e-18,6.41049154184471e-16,True,True
Diabetes,Hemoglobin (g/dL),Triglycerides (mg/dL),Ratio,-0.7312401818765865,6.938709001472473e-15,1912.175998223092,-0.12129431955973581,0.05260653053547307,1982.784920352174,0.353735357514664,9.667563795633988e-09,1947.4607266226953,35.28472839960341,2.561984862082144e-13,6.661160641413574e-11,True,True
Hypertension,Uric Acid (mg/dL),Potassium (mmol/L),Ratio,0.49188023221980176,4.777455999861845e-42,5545.724939850998,0.45924655636370115,1.2520638217765112e-35,5580.999592927298,-0.1695591743306227,1.5189730701633516e-07,5717.183960585586,35.27465307629973,7.5186192784711e-40,4.586357759867371e-38,True,True
Hypertension,Albumin (g/dL),hs-CRP Inflammation (mg/L),Ratio,-0.4086747619796239,1.1952899936312277e-19,5640.738689781652,-0.09191548887415844,0.00747932800581572,5729.384231359443,0.27314866208721256,4.122460511361173e-12,5675.951259077878,35.21256929622541,6.7898129815738375e-18,1.1474783938859785e-15,True,True
Hypertension,LDL Cholesterol (mg/dL),Insulin (uIU/mL),Ratio,-0.38918717863073177,7.835777523719205e-11,2765.723857166614,-0.10343513792583733,0.021927626374976607,2813.3410240761395,0.22446601030915267,0.00011325526380674348,2800.9170252853764,35.193168118762514,1.8573694871038115e-09,7.522346422770437e-07,True,True
Diabetes,WBC Count (10^3/uL),LDL Cholesterol (mg/dL),Ratio,0.47320068563113743,3.629612128528684e-18,1866.4660724720563,0.33819249923113015,1.709854563259809e-09,1913.7635498924858,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,33.835199253753444,1.7687449966434198e-16,3.4844276433875366e-14,True,True
Hypertension,Hemoglobin (g/dL),hs-CRP Inflammation (mg/L),Ratio,-0.4013307621400173,1.8289946138453354e-19,5644.901345763338,-0.07045062384894298,0.058344573923843616,5736.136875506685,0.2745161903933974,3.375682443966249e-12,5678.600085175198,33.698739411859606,1.0268039937377322e-17,1.755834829291522e-15,True,True
Diabetes,Albumin (g/dL),Triglycerides (mg/dL),Ratio,-0.7478810398700064,2.0345646931152402e-14,1908.9720316371752,-0.2247443313545618,0.0002582282358973701,1967.6769554689427,0.35190589139348155,1.1876985770358793e-08,1942.3088209485763,33.33678931140116,7.26090002003952e-13,1.9531821053906305e-10,True,True
High Cholesterol,"Glycohemoglobin (HbA1c, %)",HDL Cholesterol (mg/dL),Ratio,0.3252392759764831,2.327507040036291e-23,5683.285885763307,0.26428645251896726,3.716326917665723e-16,5716.505515865888,-0.25645038369923967,5.611390778475556e-13,5732.693003477705,33.219630102580595,1.718774429565261e-21,2.2344067584348396e-19,True,True
Hypertension,Albumin (g/dL),Calcium (mg/dL),Difference,-0.23814465560593823,1.9345371168778816e-12,5696.893442515047,-0.09741034786983636,0.004529845065087955,5739.825291669546,0.13646081368390373,2.3206998298779554e-05,5729.723809302263,32.83036678721601,5.383059803486279e-11,1.8571556322027663e-08,True,True
Hypertension,Calcium (mg/dL),Albumin (g/dL),Difference,0.23814465560593823,1.9345371168778816e-12,5696.893442515047,0.13646081368390373,2.3206998298779554e-05,5729.723809302263,-0.09741034786983636,0.004529845065087955,5739.825291669546,32.83036678721601,5.383059803486279e-11,1.8571556322027663e-08,True,True
Hypertension,Diastolic BP (mmHg),HDL Cholesterol (mg/dL),Ratio,0.39420818174564815,5.670232803948684e-28,5393.032053688088,0.32222173403208526,1.1963496759713112e-21,5425.754900121603,-0.22465322744345717,3.075722364167241e-10,5479.2419163610775,32.72284643351486,4.903985127739402e-26,5.4434234917907366e-24,True,True
Hypertension,Waist Circumference (cm),Potassium (mmol/L),Ratio,0.6040186926572123,1.0730512953884096e-61,5143.788001340822,0.5829598895525457,2.353513991046155e-56,5176.285056216157,-0.17154056287884434,2.2936136468839324e-07,5416.52683638514,32.49705487533447,7.9240711044067164e-59,1.0301292435728731e-57,True,True
Hypertension,Calcium (mg/dL),hs-CRP Inflammation (mg/L),Ratio,-0.3940227602682946,3.794562662327661e-19,5641.978966474582,0.13826543440976352,1.8605613221189944e-05,5716.051142786547,0.2733798144389099,4.025736667297185e-12,5673.9883391562125,32.00937268163034,2.09355181369802e-17,3.6427801558345545e-15,True,True
Hypertension,HDL Cholesterol (mg/dL),Diastolic BP (mmHg),Difference,-0.3951659125549981,7.5847867941604664e-28,5394.1729005155785,-0.22465322744345717,3.075722364167241e-10,5479.2419163610775,0.32222173403208526,1.1963496759713112e-21,5425.754900121603,31.58199960602451,6.443712674684999e-26,7.281395322394048e-24,True,True
