outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
thyroid_binary,Thyroid Problem,LBXSCA,Calcium (mg/dL),diastolic_bp,Diastolic BP (mmHg),Difference,4669,568.0,0.1277769659467623,0.0032911286202381,3452.5151280298155,0.0917436224753416,0.0396470077547316,3456.767785651962,-0.1253674018514393,0.0039446006303098,3452.836293110395,1.1985555976309543,0.3211650805797035,0.010591236322577913,1.0,True,False
thyroid_binary,Thyroid Problem,diastolic_bp,Diastolic BP (mmHg),LBXSCA,Calcium (mg/dL),Difference,4669,568.0,-0.1277769659467623,0.0032911286202381,3452.5151280298155,-0.1253674018514393,0.0039446006303098,3452.836293110395,0.0917436224753416,0.0396470077547316,3456.767785651962,1.1985555976309543,0.3211650805797035,0.010591236322577913,1.0,True,False
hypertension_binary,Hypertension,LBDHDD,HDL Cholesterol (mg/dL),LBXSNASI,Sodium (mmol/L),Ratio,5407,1900.0,-0.0859709134565823,0.003160231471968,7005.933118666146,-0.0843865438605588,0.0037383390022219,7006.248740546838,0.0329189631954784,0.2486327286507478,7013.456550241348,1.1829320210819243,0.3156218806925608,0.010230965197018705,1.0,True,False
thyroid_binary,Thyroid Problem,LBXSKSI,Potassium (mmol/L),LBXSASSI,AST Liver Enzyme (U/L),Difference,4887,597.0,0.1265364785720052,0.0268341104520867,3626.360225498853,0.0881951832375448,0.0408959095195317,3628.043698428718,-0.1224287870834466,0.0309048868576035,3626.6746437802194,1.151701559579747,0.3144182813662155,0.07724104287914083,1.0,False,False
thyroid_binary,Thyroid Problem,LBXSASSI,AST Liver Enzyme (U/L),LBXSKSI,Potassium (mmol/L),Difference,4887,597.0,-0.1265364785720052,0.0268341104520867,3626.360225498853,-0.1224287870834466,0.0309048868576035,3626.6746437802194,0.0881951832375448,0.0408959095195317,3628.043698428718,1.151701559579747,0.3144182813662155,0.07724104287914083,1.0,False,False
liver_condition_binary,Liver Condition,LBDHDD,HDL Cholesterol (mg/dL),LBXSKSI,Potassium (mmol/L),Ratio,4895,270.0,-0.1697533901587348,0.0137083730700655,2087.0473549358967,-0.1646840734160108,0.0159777336368401,2087.3599135502245,0.0530184671440226,0.3925141995211171,2092.775010868545,1.1655455797106975,0.3125586143278269,0.04083020604181485,1.0,True,False
liver_condition_binary,Liver Condition,LBXGLU,Fasting Glucose (mg/dL),LBXSAL,Albumin (g/dL),Ratio,2378,132.0,0.2521417648758671,2.4247054735983355e-05,1009.4947303977116,0.2547059848446247,3.0314830935699223e-05,1009.8058122002589,-0.086296521099998,0.3269524973557169,1022.8640812144866,1.2502479689094408,0.3110818025472781,9.822512796272326e-05,0.13093409557431013,True,False
heart_attack_binary,Heart Attack,LBXSAPSI,Alkaline Phosphatase (U/L),LBXHGB,Hemoglobin (g/dL),Ratio,4902,243.0,0.2230491064765847,8.254597380303059e-06,1920.2881333161615,0.2194784779715136,2.095612728433851e-05,1920.5990472985957,0.0040431209887279,0.9510509675319552,1937.8540405046992,2.5387219168730826,0.3109139824337035,3.6005513613599776e-05,0.04457482585363652,True,True
hypertension_binary,Hypertension,LBXPLTSI,Platelet Count (10^3/uL),LBXSNASI,Sodium (mmol/L),Ratio,5408,1900.0,-0.1293485708244922,9.357597099834454e-06,6995.645058908098,-0.128369999097973,1.094803579034735e-05,6995.949669733793,0.0338307833007774,0.2357708886917727,7014.247426579992,1.1699622962545622,0.3046108256949082,4.052207244515321e-05,0.05053102433910605,True,False
thyroid_binary,Thyroid Problem,LBXSAPSI,Alkaline Phosphatase (U/L),LBXSASSI,AST Liver Enzyme (U/L),Ratio,4888,597.0,0.1444519397100506,0.0003517827631639,3620.286043595683,0.1366457961765141,0.0004413708370876,3620.5809583767177,-0.1230956255269361,0.0301554774884648,3626.882296764162,1.254668742487293,0.2949147810345494,0.0012706534589197725,1.0,True,False
