outcome,marker1,marker2,anomaly_type,n11_d,n11_v,rate_00_d,rate_11_d,rate_00_v,rate_11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta3_d,p3_d,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
uncontrolled_hypertension,LBXSCA,LBXSUA,Low-High,26.0,27.0,0.35772357723577236,0.5384615384615384,0.3115942028985507,0.18518518518518517,2.082175732217573,0.7656626983905398,5.662357313408536,0.5398608421203643,0.15773477485285983,1.847720194400904,0.48104441066877845,0.2835438968252897,-0.7630037393142732,0.1604728214705594,-0.8341068057044981,0.20218989639509555,-2.010642110748948,0.005444531334816299
uncontrolled_hypertension,LBXSCA,LBXTC,High-High,32.0,72.0,0.3477508650519031,0.71875,0.3010048055919616,0.3194444444444444,4.638350070328088,1.711897252524258,12.567513233162174,1.1020062847474015,0.5719157209636934,2.123420999122815,1.157342063671089,0.009100839111325417,-0.3749720075392005,0.22236607561038446,0.8938708422258047,0.06636231625680743,-0.24260134995758814,0.46113696137593074
uncontrolled_hypertension,LBXSCA,LBXTC,Low-Low,32.0,21.0,0.3641003828158231,0.3125,0.3225205070842655,0.2857142857142857,0.8148277875072972,0.30917637281630933,2.1474613899054495,0.8806209351297963,0.26300939442939764,2.9485381427964574,-0.2069967579271062,0.6374687639344323,0.8451097765828299,0.13161541554724304,-0.12372775190082098,0.8448746203581576,-0.7266285002491001,0.32016119215853167
uncontrolled_hypertension,LBXSCA,LBXWBCSI,High-High,25.0,36.0,0.356401384083045,0.4,0.31252600915522266,0.19444444444444445,1.2229699329016606,0.43414290097121166,3.44507638714256,0.5590513887479278,0.1937819072682476,1.6128360984100925,-0.1273044177289461,0.7809238956261928,-0.7428053853156317,0.11158372275713059,-0.5645307263014285,0.3789481081952947,-0.2987607733162665,0.6175523933825562
uncontrolled_hypertension,LBXSCA,LBXSASSI,High-High,32.0,62.0,0.35195530726256985,0.5,0.31514622435617634,0.2903225806451613,1.8407565588773642,0.745566204529234,4.54471338489589,0.9030986353563236,0.4387259720913354,1.8589898867730184,0.10579583169204397,0.7958479606358145,-0.030526634845853138,0.9267500605665278,-0.5316853328017007,0.31569386029788904,-0.446734505642866,0.2548857443935997
uncontrolled_hypertension,LBXSCA,LBXSATSI,High-High,34.0,44.0,0.3536480686695279,0.38235294117647056,0.31502767134951043,0.20454545454545456,1.1472915226987461,0.46577273127421204,2.826008801450169,0.5816492472729693,0.22542102464807512,1.5008176250701852,-0.3301971716771957,0.4202126037422521,-0.49864164789010096,0.2331567326789491,-0.623012688688801,0.22365691115709574,-0.868953193723424,0.055757031117045164
uncontrolled_hypertension,LBXSCA,LBXSAPSI,High-Low,25.0,61.0,0.35936151855047455,0.56,0.3146760687527545,0.2459016393442623,2.2471766516261966,0.8076709255799631,6.252302446058486,0.7256822953114065,0.33787281535709157,1.558618420282975,0.734231041442379,0.10861381973044575,-0.3356646048096736,0.33047863176457304,0.682060104245822,0.3056614798358489,-0.11744637627132927,0.8118801471091888
uncontrolled_hypertension,LBXSCA,LBXSAPSI,Low-High,33.0,28.0,0.3534153585065762,0.48484848484848486,0.3126419379258138,0.35714285714285715,1.7245179535521467,0.7075593530231272,4.20312749653735,1.2474125668318046,0.458358618013592,3.3948049643603935,0.2709927709808049,0.5077425719595745,0.28707035340875703,0.538794825436358,0.3288001661132481,0.5426066925343636,0.4538340592989505,0.5551293666873914
uncontrolled_hypertension,LBXSCR,LBXSKSI,High-High,78.0,72.0,0.3596454200084424,0.38461538461538464,0.3128643606684804,0.3194444444444444,1.1194183269341234,0.6110240344695717,2.05081522163658,1.042322668020992,0.5416765064379883,2.005692569933852,0.16900589989461431,0.6060315367465592,0.25611787259520286,0.476845479991147,-0.3508670726818599,0.5639686548026646,-0.9987171044752712,0.12194799840271765
uncontrolled_hypertension,LBXSCR,LBXSKSI,Low-Low,39.0,39.0,0.36160137752905724,0.38461538461538464,0.317102615694165,0.20512820512820512,1.1166458254926004,0.4804294819299203,2.5953817292418675,0.5809201719157331,0.2133177975741741,1.581997610964747,0.17178606332309662,0.6598842407343131,-0.3953903366663609,0.3788365484130738,0.17393694337720428,0.6823300039604113,-0.5813490217096509,0.22535136369455733
uncontrolled_hypertension,LBXSCR,LBXSNASI,High-High,24.0,23.0,0.34786324786324785,0.3333333333333333,0.31068702290076333,0.30434782608695654,0.9654742638168051,0.3235334566712215,2.881125691553606,1.008147776103577,0.3225438476235966,3.1510814605543684,-0.707329630501536,0.1402136610083775,-0.07245142321869132,0.8933579693161172,0.0,1.0,0.0,1.0
uncontrolled_hypertension,LBXSCR,LBXSNASI,High-Low,24.0,27.0,0.3591278324070115,0.4583333333333333,0.30936118923262357,0.4444444444444444,1.5197523519950646,0.5373487299616155,4.2982277292430116,1.7997320550124551,0.671673535360451,4.822336000034808,0.4263880752456897,0.35670061138182974,0.47776913469231974,0.27724581144664406,-0.6738364448118217,0.43514064401394636,0.5673817129104045,0.6465922249011042
uncontrolled_hypertension,LBXSCR,LBXSUA,High-High,82.0,123.0,0.3554603854389722,0.47560975609756095,0.30977814297452755,0.36585365853658536,1.6460725085981995,0.92439459783322,2.9311667440657523,1.290984454208929,0.7884676321397094,2.1137720726547373,0.3659338021981894,0.24064797493209533,0.17170249305822854,0.5422659445913511,-0.21167761860505466,0.661213702457623,-0.3560831753425913,0.5134210023739565
uncontrolled_hypertension,LBXSCR,LBXSUA,Low-Low,66.0,63.0,0.3563852354688163,0.3181818181818182,0.31542594013814274,0.31746031746031744,0.8531355616424028,0.4308360102125308,1.6893673446187922,1.0224574642769801,0.5084532728249542,2.0560773666523726,-0.5123840289088796,0.13522758819056352,0.2269796252034077,0.5359058177822764,0.3281455968904146,0.3100407058339777,0.6246817921780238,0.06181291591982633
uncontrolled_hypertension,LBXSCR,LBXTC,High-High,22.0,33.0,0.34460052677787534,0.5,0.29781771501925547,0.3939393939393939,1.9013367281985998,0.6455243794931701,5.600224358428287,1.552028434857213,0.6244870822641708,3.857233129421822,-0.1934520069863008,0.6797205609813884,-0.07132377422894483,0.8581190337292387,-1.1966830709876022,0.084832355743462,-0.2865216932178516,0.6746079372193907
uncontrolled_hypertension,LBXSCR,LBXTC,High-Low,41.0,36.0,0.3615819209039548,0.4146341463414634,0.31543887147335425,0.16666666666666666,1.2608322608322609,0.5586777899678665,2.8454648072672173,0.4623439264889947,0.1511172088639984,1.414543770151559,0.4124277785635281,0.2766346731962783,-0.4653378954369379,0.36233322167651916,0.6251278386770616,0.48137255981872695,14.96871755924315,0.9952572209581801
uncontrolled_hypertension,LBXSCR,LBXTC,Low-High,25.0,45.0,0.3487667676330593,0.28,0.3043298969072165,0.2222222222222222,0.7567735125081685,0.24673305501210308,2.321156965392651,0.6758560843735398,0.27149362153638434,1.68247579519476,-1.0754536929693623,0.027863133947095782,-0.7435436566233201,0.07167197306206864,-0.2371664504006519,0.6473376197181053,-0.5214287703521503,0.2181670295240371
uncontrolled_hypertension,LBXSCR,LBXWBCSI,High-High,23.0,30.0,0.3560804899387577,0.30434782608695654,0.31023368251410155,0.3,0.8217534460628384,0.26281331701160926,2.569423550505704,0.9820714425848512,0.3577721812477768,2.6957498902709442,-0.6498956686496078,0.19090058073616234,-0.24081991860754384,0.5923481568529916,-1.2360177468945235,0.17232937419782857,0.05800631748892767,0.9494897281241581
uncontrolled_hypertension,LBXSCR,LBXWBCSI,High-Low,27.0,40.0,0.35830048182216384,0.4074074074074074,0.3098827470686767,0.275,1.2479035930471485,0.46096169171983276,3.3782923950358765,0.8678400988795936,0.3518695460598575,2.140413814315215,0.17379447481285137,0.693185005448327,-0.30736938094133004,0.4430622215539405,-0.1941715326536755,0.7836398300836073,-0.37052336494735194,0.6271654592003555
uncontrolled_hypertension,LBXSCR,LBXWBCSI,Low-High,25.0,20.0,0.36139896373056996,0.2,0.31777167516673205,0.15,0.4739570440480525,0.1368791396299798,1.6411213586673294,0.4292412091301666,0.09460350975293559,1.9475811848493294,-1.0047320877423758,0.06406677306785802,-0.7007057804298561,0.29234648248209194,-0.6975711212051624,0.2513741190356128,-0.11794332624240716,0.876425294256045
uncontrolled_hypertension,LBXSCR,LBXSASSI,High-High,26.0,37.0,0.3510452961672474,0.38461538461538464,0.31037414965986393,0.24324324324324326,1.17606943583385,0.4227528024343648,3.271744882441771,0.7403604836869723,0.28013672806371975,1.956664695821425,-0.4667543260990059,0.2992332474898294,-0.5472753008765405,0.19668406719061293,-1.0925947281624886,0.1552476574294596,0.09511580148031337,0.9148197611570927
uncontrolled_hypertension,LBXSCR,LBXSASSI,Low-High,28.0,32.0,0.360550064460679,0.6428571428571429,0.31985142385472554,0.28125,3.123996710059843,1.1475146867601203,8.504776066979302,0.8593357751347791,0.31716938060160904,2.3282763708961425,1.2387512210819724,0.005632867654563125,0.18643909190616167,0.6754238293298643,0.7931026345606025,0.10274201542732464,-0.1700173008964899,0.7239024350508868
uncontrolled_hypertension,LBXSCR,LBXSATSI,High-Low,52.0,32.0,0.34640241275312367,0.46153846153846156,0.30899308224442734,0.34375,1.621525846935549,0.7904325371083708,3.326464876938078,1.195759318947201,0.4636443247104189,3.083916426114173,-0.16494423607372746,0.6320512476012403,0.044752115806946345,0.9221632194061331,-0.5498341578794236,0.3965328491897895,-0.10197116261891984,0.9180573072323531
uncontrolled_hypertension,LBXSCR,LBXSATSI,Low-High,25.0,26.0,0.3619948409286328,0.52,0.3204973926995588,0.23076923076923078,1.902979228486647,0.6881113151385774,5.262709483744415,0.6720206226452509,0.20965661493820753,2.1540542252559733,0.6494769841505169,0.15074790478890707,-0.15568391499374687,0.7620856817129599,0.48720974577072845,0.32257212632194554,-0.3414143043926004,0.5363704731945762
uncontrolled_hypertension,LBXSCR,LBXSAPSI,High-High,45.0,42.0,0.35064935064935066,0.5333333333333333,0.3083665338645418,0.42857142857142855,2.1096509475919256,0.9773047148958337,4.553981018243508,1.693007997259588,0.7598022171022273,3.772397624366604,0.42879212750535195,0.2350615561758328,0.3677663599122171,0.33026494841363674,0.0040837813629901526,0.9956849717738298,-0.42398998351948136,0.5570887229141965
uncontrolled_hypertension,LBXSCR,LBXSAPSI,Low-Low,22.0,21.0,0.36379310344827587,0.3181818181818182,0.3196652719665272,0.19047619047619047,0.845986363375924,0.26755202233165276,2.6749673606685005,0.5470802578716247,0.1395430381658239,2.144835116727346,-0.13056231495507986,0.7963506676448237,-0.4397957969801174,0.457353373905919,1.0432441709492997,0.1157091314357544,0.7365417455031883,0.300259331571871
uncontrolled_hypertension,LBXSCR,LBXSAPSI,High-Low,32.0,40.0,0.358974358974359,0.4375,0.3133304757822546,0.4,1.3992413466097677,0.5629945613857661,3.47761147326745,1.4753721037287095,0.6443720992363907,3.3780525988639023,0.24882504187776816,0.5459880262640946,0.42111534339815065,0.2559431781072887,-0.7344118387943542,0.36622392365991996,1.2551023006540065,0.26274830698586515
