Biomarker_A,Biomarker_B,Combo_Type,beta_A,p_A,beta_B,p_B,beta_combo,p_combo,aic_gain,FDR_q
LBDHDD,LBXGLU,Difference,-0.19196957984458832,0.0009916478398651,0.1448894819718126,0.0009432077706531048,-0.17869864933750115,5.325335107119388e-05,3.032636406977417,7.567581468011762e-05
LBXGLU,LBDHDD,Difference,0.1448894819718126,0.0009432077706531048,-0.19196957984458832,0.0009916478398651,0.17869864933750115,5.325335107119388e-05,3.032636406977417,7.567581468011762e-05
LBXTC,LBXWBCSI,Ratio,0.0375801695756913,0.3050200480617219,0.05914574201558871,0.13309506793232476,-0.1603517047221156,5.643078412565333e-05,12.434279709558723,7.880850886513656e-05
LBXGLU,LBXSAL,Ratio,0.14530488979935158,0.0009195196664423339,-0.14441138758705174,0.011681116992615141,0.16131127641427234,0.00012256990736547957,3.131063273505788,0.00016827394062040416
LBXTR,LBXSBU,Ratio,0.12464882813219902,0.0016789208060725154,-0.07945927914573393,0.21655214311848825,0.15154742415993094,0.0002138641150615402,3.0868853351526013,0.0002887165553330793
LBXHSCRP,LBDLDL,Ratio,0.106655261202783,0.003064490601870903,0.03129632275830838,0.558290689468272,0.14104288644553578,0.0002814770402330303,4.968113305279985,0.00037376459440779437
LBXSBU,LBXTR,Ratio,-0.07945927914573393,0.21655214311848825,0.12464882813219902,0.0016789208060725154,-0.24192864767878275,0.00029540667340147695,6.466798551804459,0.00038593452492773604
LBXTR,LBXHGB,Ratio,0.12475837992594094,0.0016989952655012636,-0.028690211843253047,0.6486604819400671,0.1417130298427782,0.00041553321010540974,2.4053552500490696,0.0005342569844212411
LBXSASSI,LBXSBU,Ratio,0.08948891140719455,0.0054020490882331846,-0.0456813568794498,0.27634247568344406,0.09892480703566761,0.0004357881845083803,3.3953147824486223,0.0005515444210184189
LBXSATSI,LBXSBU,Ratio,0.07866346833556048,0.013707965785605278,-0.04552262580170445,0.27799740030092657,0.10368974998414611,0.0005159288255540995,5.046008270818675,0.0006429266903058778
LBXWBCSI,LBXSBU,Ratio,0.05929836019933789,0.13295275422847366,-0.04462051131245576,0.2889301774432278,0.13412597808103927,0.0010216804530046649,9.39229384837654,0.0012538805559602706
LBXTC,LBXTR,Ratio,0.016722071662138186,0.7532639409724915,0.12534674658658673,0.0015832440826956836,-0.19636139431945715,0.001146529265984545,2.7103986069805615,0.0013861025454440022
LBXSAL,LBXTR,Ratio,-0.14325186046031194,0.0154082293019829,0.12492338106267681,0.0016390677963759302,-0.20125340454446639,0.0012330967214172546,2.692128663586118,0.0014688358005117298
LBXSNASI,LBXTR,Ratio,-0.09141219738957578,0.1087557390155441,0.12492338106267681,0.0016390677963759302,-0.1965323321076281,0.0013875091221062907,2.4404659995416296,0.0016288150563856455
LBXPLTSI,LBXSBU,Ratio,0.08842276888720575,0.016444471415150503,-0.04462051131245576,0.2889301774432278,0.11732051774241228,0.0014087020647420663,4.025666001981335,0.0016300695320586767
LBXSUA,LBXTR,Ratio,-0.06311710155759231,0.29306789839409675,0.1246638263612398,0.0016760349004072705,-0.196331408422285,0.0016186740252284804,2.2144560394362998,0.0018466562823029142
LBXHGB,LBXTR,Ratio,-0.028690211843253047,0.6486604819400671,0.12475837992594094,0.0016989952655012636,-0.19572301833341296,0.0016529326755282626,2.1302437506237766,0.0018595492599692955
LBXSCR,LBXSBU,Ratio,0.03670546961561619,0.27414656044635555,-0.045662102388210654,0.2765332618745384,0.10291911566719661,0.0031434613604066322,6.954640564550573,0.003487950276615578
LBXSBU,LBXSCR,Ratio,-0.045662102388210654,0.2765332618745384,0.03670546961561619,0.27414656044635555,-0.10223298305174969,0.00927966139077369,5.703665679939149,0.010157467198009038
LBDLDL,LBXSBU,Ratio,0.028883011687383074,0.5875608942479185,-0.09432996820600065,0.1527608168569466,0.12747740291647638,0.01279107508661011,3.7911561942701155,0.01381436109353892
LBXSCR,LBXWBCSI,Ratio,0.03377379782632422,0.32220732361267157,0.05937882791271564,0.13301785882474296,-0.13531641224065263,0.015309697518370318,2.2644646190810818,0.016316914460368363
diastolic_bp,LBXSBU,Ratio,0.03890558537974579,0.30485345058630564,-0.06289623834880176,0.14526824865507348,0.08555500235023256,0.017188220788403503,3.190300265740916,0.018081115374814074
LBXTC,LBXSBU,Ratio,0.03375210773856224,0.35671530861712697,-0.04607337543306137,0.2722794209243772,0.0827624183683214,0.01782701120867008,4.096578153556038,0.018512665485926623
LBXWBCSI,LBXTC,Ratio,0.05914574201558871,0.13309506793232476,0.0375801695756913,0.3050200480617219,0.08062119300815569,0.040451053700038486,2.363204915739516,0.04104672398811407
