outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
high_cholesterol_binary,High Cholesterol,LBXGLU,Fasting Glucose (mg/dL),LBXSAL,Albumin (g/dL),Difference,2582,864.0,0.46240101789462185,5.021073192320661e-21,3184.3016320918487,0.4614731847671319,5.5657166309451974e-21,3184.6502478251573,-0.11343879126255198,0.006458502683848362,3288.134640936443,1.1084715194866162,0.34861573330863393
high_cholesterol_binary,High Cholesterol,LBXSAL,Albumin (g/dL),LBXGLU,Fasting Glucose (mg/dL),Difference,2582,864.0,-0.46240101789462185,5.021073192320661e-21,3184.3016320918487,-0.11343879126255198,0.006458502683848362,3288.134640936443,0.4614731847671319,5.5657166309451974e-21,3184.6502478251573,1.1084715194866162,0.34861573330863393
stroke_binary,Stroke,LBXWBCSI,WBC Count (10^3/uL),LBXPLTSI,Platelet Count (10^3/uL),Difference,5020,243.0,0.20100829500172407,0.004115992535749968,1941.158655644837,0.01891239133819132,0.652025816933036,1949.5552187902802,-0.19767421062403143,0.0050723797382331536,1941.504621383916,1.2323588281991198,0.34596573907901984
stroke_binary,Stroke,LBXPLTSI,Platelet Count (10^3/uL),LBXWBCSI,WBC Count (10^3/uL),Difference,5020,243.0,-0.20100829500172407,0.004115992535749968,1941.158655644837,-0.19767421062403143,0.0050723797382331536,1941.504621383916,0.01891239133819132,0.652025816933036,1949.5552187902802,1.2323588281991198,0.34596573907901984
heart_attack_binary,Heart Attack,LBDLDL,LDL Cholesterol (mg/dL),LBXSKSI,Potassium (mmol/L),Difference,2353,125.0,-0.5174341175892359,1.2264202979032275e-06,955.1595346157517,-0.5137276187756835,1.4360563484159105e-06,955.5046835577998,0.2882312779199582,0.0011020802637402888,970.6505227228716,1.1709332851642225,0.34514894204812663
heart_attack_binary,Heart Attack,LBXSKSI,Potassium (mmol/L),LBDLDL,LDL Cholesterol (mg/dL),Difference,2353,125.0,0.5174341175892359,1.2264202979032275e-06,955.1595346157517,0.2882312779199582,0.0011020802637402888,970.6505227228716,-0.5137276187756835,1.4360563484159105e-06,955.5046835577998,1.1709332851642225,0.34514894204812663
depression_binary,Depression,LBXSCR,Creatinine Kidney (mg/dL),LBXWBCSI,WBC Count (10^3/uL),Difference,788,409.0,-0.17916008492053082,0.022645871546919563,1089.636986533158,-0.053401093122175836,0.45770688219249744,1094.7009468061935,0.17361945658198724,0.027245299727127876,1089.9807270077727,1.2031022816092038,0.3437404746146058
depression_binary,Depression,LBXWBCSI,WBC Count (10^3/uL),LBXSCR,Creatinine Kidney (mg/dL),Difference,788,409.0,0.17916008492053082,0.022645871546919563,1089.636986533158,0.17361945658198724,0.027245299727127876,1089.9807270077727,-0.053401093122175836,0.45770688219249744,1094.7009468061935,1.2031022816092038,0.3437404746146058
stroke_binary,Stroke,LBDLDL,LDL Cholesterol (mg/dL),LBXSUA,Uric Acid (mg/dL),Difference,2354,111.0,-0.29372229124111365,0.00574813059487746,890.6736773004611,-0.2873634208514967,0.006845514784824697,891.0094015997832,0.12744478710287577,0.17613607342948967,896.9531525970282,1.1909114923250332,0.33572429932212344
stroke_binary,Stroke,LBXSUA,Uric Acid (mg/dL),LBDLDL,LDL Cholesterol (mg/dL),Difference,2354,111.0,0.29372229124111365,0.00574813059487746,890.6736773004611,0.12744478710287577,0.17613607342948967,896.9531525970282,-0.2873634208514967,0.006845514784824697,891.0094015997832,1.1909114923250332,0.33572429932212344
