outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
arthritis_binary,Arthritis,BMXWAIST,Waist Circumference (cm),LBXSUA,Uric Acid (mg/dL),High-High,OR,4647,1425.0,0.2809486578055772,0.4558011049723757,0.3948126801152737,0.4455445544554455,2.1440807966995887,1.6713247593594076,2.060502746768086,0.7625025679109353,7.915124150839619e-12,0.5126342178589995,9.140802674647002e-06,-0.5540651639864208,0.0292211008594334,1.0,1.0,False,False
arthritis_binary,Arthritis,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),High-High,OR,2424,767.0,0.2950513538748833,0.5128205128205128,0.5660377358490566,0.4473684210526316,2.510611128002432,3.099503826423345,1.9354138958095275,0.9222688300496636,0.0044013727115682,1.1366787013951192,5.2842465046241e-05,-1.3992810894498764,0.0018972417632369,0.5122552760739629,1.0,False,False
arthritis_binary,Arthritis,LBXGH,"Glycohemoglobin (HbA1c, %)",LBDLDL,LDL Cholesterol (mg/dL),TwoSided-TwoSided,AND,2359,748.0,0.3152741514360313,0.2615803814713896,0.3398876404494382,0.4615384615384615,0.7715133474644864,1.1198795934632688,1.8632848605759995,-0.2621946746681405,0.0451479161352342,0.111780986196306,0.369937584184305,0.7718389633883,0.0031523109623234,0.6266225130231325,1.0,False,False
arthritis_binary,Arthritis,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSBU,BUN Kidney (mg/dL),High-High,OR,4896,1524.0,0.2745721271393643,0.4266666666666667,0.5645645645645646,0.5408163265306123,1.967185946304276,3.421889743789734,3.105703819989534,0.6760834526585424,8.307224149829176e-10,1.2312558859617526,2.4231568811934947e-26,-0.7721622492861147,0.0025394833025428,0.5945227201333351,1.0,False,False
arthritis_binary,Arthritis,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSNASI,Sodium (mmol/L),High-Low,OR,4899,1525.0,0.290737148399612,0.4707379134860051,0.3741721854304636,0.35,2.1698899321559844,1.460785661571829,1.3239921395819685,0.7746243500154502,3.913413679324866e-13,0.3774474082911414,0.002289631592678,-0.8793043620743717,0.0019376302331778,0.5129021205470647,1.0,False,False
arthritis_binary,Arthritis,LBXGLU,Fasting Glucose (mg/dL),LBXWBCSI,WBC Count (10^3/uL),TwoSided-TwoSided,AND,2427,767.0,0.3058007566204287,0.2902374670184696,0.3464788732394366,0.4579439252336448,0.9302480658961458,1.2051449010553357,1.919749663313,-0.0744057680242264,0.5536205094115095,0.1852722294913037,0.135579856230918,0.5403360718823268,0.0352604875262771,1.0,1.0,False,False
arthritis_binary,Arthritis,LBXTC,Total Cholesterol (mg/dL),LBXSUA,Uric Acid (mg/dL),Low-High,AND,4896,1523.0,0.2996489468405215,0.3151658767772511,0.380281690140845,0.55,1.0775360104710452,1.4355779668400483,2.8465001330747883,0.072892541688888,0.5088392783095615,0.3606173336656342,0.000639481267403,0.6161309216871951,0.0394185938008539,1.0,1.0,False,False
arthritis_binary,Arthritis,LBDHDD,HDL Cholesterol (mg/dL),LBXSNASI,Sodium (mmol/L),Low-Low,AND,4899,1524.0,0.3094312105007292,0.2729528535980149,0.3473053892215569,0.5208333333333334,0.840045642767755,1.189660919338855,2.421146279728341,-0.1769124599278687,0.1298465245856326,0.1718749116140578,0.1512828100608364,0.8911989405496442,0.007294873418963,0.918048129919605,1.0,False,False
arthritis_binary,Arthritis,LBDLDL,LDL Cholesterol (mg/dL),LBXTR,Triglycerides (mg/dL),High-Low,AND,2361,748.0,0.3312335958005249,0.3185840707964602,0.1866666666666666,0.6,0.9470567585781016,0.4674329749892669,2.825494853523357,-0.0576755098066779,0.7021890392725262,-0.7692055609671566,1.5313562876391842e-05,1.934957152472895,0.0397421777393165,1.0,1.0,False,False
arthritis_binary,Arthritis,LBXTR,Triglycerides (mg/dL),LBXSAPSI,Alkaline Phosphatase (U/L),High-Low,AND,2375,753.0,0.3225974025974026,0.3558558558558558,0.2149532710280373,0.5,1.1628352221920104,0.5792366033168532,2.0989541432019307,0.148463882760235,0.3171665164680752,-0.5534619223610432,0.0014140778307373,1.1468587001539283,0.0476825033846726,1.0,1.0,False,False
