outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3
heart_attack_binary,Heart Attack,LBXSASSI,AST Liver Enzyme (U/L),LBXSAPSI,Alkaline Phosphatase (U/L),High-Low,AND,4892,243.0,0.05147426286856572,0.053613053613053616,0.02288329519450801,0.16666666666666666,1.0628467785888511,0.45156110615521855,4.035729049784444,0.04296804726765314,0.8491872578547741,-0.840371929294342,0.01035956499275076,2.101792960532825,0.0017999665636038262
heart_attack_binary,Heart Attack,LBXSAPSI,Alkaline Phosphatase (U/L),LBXSKSI,Potassium (mmol/L),Low-Low,AND,4903,243.0,0.05258103241296518,0.025404157043879907,0.03636363636363636,0.1,0.48938280923562155,0.7110536272730783,2.2882998550424514,-0.7557240844715839,0.015827850023351096,-0.38575877622611865,0.24175315034514633,1.835644240127541,0.015240972758185936
heart_attack_binary,Heart Attack,LBXSAPSI,Alkaline Phosphatase (U/L),LBXWBCSI,WBC Count (10^3/uL),High-Low,AND,4902,243.0,0.045101478326234026,0.06473214285714286,0.06132075471698113,0.20512820512820512,1.4849395303074826,1.40422359471286,5.698060941828254,0.3821149600479848,0.06439171706527518,0.3243345827206924,0.13377912076583282,0.9916948444096606,0.043339643839471545
heart_attack_binary,Heart Attack,LBXSAPSI,Alkaline Phosphatase (U/L),LBXWBCSI,WBC Count (10^3/uL),Low-High,AND,4902,243.0,0.050537903427570675,0.02304147465437788,0.06108597285067873,0.13793103448275862,0.4636129651441783,1.2405253227555675,3.307625272331155,-0.813976369809388,0.013073234908098018,0.20073033820215586,0.342193647772734,1.713836560287447,0.009528052614288952
heart_attack_binary,Heart Attack,LBXSBU,BUN Kidney (mg/dL),LBXWBCSI,WBC Count (10^3/uL),Low-High,AND,4901,243.0,0.05024271844660194,0.016129032258064516,0.06382978723404255,0.08333333333333333,0.3395460729990338,1.3080873304061138,1.9072153783674022,-1.1715330352282687,0.010272937550676584,0.2537634836948916,0.22977116377405937,1.4592151076800497,0.04314593226864764
heart_attack_binary,Heart Attack,LBXSNASI,Sodium (mmol/L),LBXHSCRP,hs-CRP Inflammation (mg/L),Low-Low,AND,4894,243.0,0.05177914110429448,0.05507246376811594,0.02050113895216401,0.11428571428571428,1.0912754010404788,0.4032119449867244,2.6102668017561634,0.06514165965607446,0.7914655936870308,-0.9589605694950486,0.005327852368125935,1.7537261283300598,0.009433560298981309
heart_attack_binary,Heart Attack,LBXSAL,Albumin (g/dL),LBXHGB,Hemoglobin (g/dL),Low-Low,AND,4904,243.0,0.05026078710289237,0.043668122270742356,0.02346041055718475,0.11206896551724138,0.9019053999732012,0.48053973013493256,2.45923273657289,-0.14752439526870542,0.6557775735201369,-0.7897387067468585,0.030330713816591467,1.8064457128012148,0.0015098639702931984
heart_attack_binary,Heart Attack,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXWBCSI,WBC Count (10^3/uL),High-Low,AND,4896,243.0,0.04752325873774202,0.0437636761487965,0.0625,0.23333333333333334,0.936771956275914,1.3558133708994728,6.380452478526919,-0.08635448229527232,0.7195556293444526,0.2897962381441169,0.17219490636047607,1.6048206165236458,0.0025862421433264482
heart_attack_binary,Heart Attack,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXPLTSI,Platelet Count (10^3/uL),Low-High,AND,4896,243.0,0.05552751135790005,0.024553571428571428,0.021691973969631236,0.08,0.4461418853255588,0.39471602594526184,1.8056158633666233,-0.8482899618155467,0.006735970436232411,-0.9751342860269608,0.002876327579694447,2.2148251729549755,0.010221060535150265
heart_attack_binary,Heart Attack,LBXHGB,Hemoglobin (g/dL),LBXWBCSI,WBC Count (10^3/uL),High-High,AND,5018,246.0,0.04845708775313404,0.035897435897435895,0.052132701421800945,0.15517241379310345,0.7544841312994506,1.1005938606518526,3.759806501741985,-0.3131256461708658,0.2662133071085898,0.07698407385410455,0.7385142238595371,1.518952019146124,0.0028277892981524327
