Biomarker_A,Biomarker_B,Gate_Type,N_Both,beta_A,beta_B,beta_int,z_int,p_int,dep_rate_both,dep_rate_control,FDR_q
LBXGH,LBXTC,High-High,90,0.5037848134936881,0.1787832679742947,-0.9157350037153568,-2.006350435278855,0.044818872505397934,0.06666666666666667,0.08583860759493671,0.8829995525349683
diastolic_bp,LBXSAPSI,High-High,83,0.30290015386850927,0.43521962174384987,-0.913791302143587,-1.9965578281019494,0.04587323790403661,0.07228915662650602,0.08577922719636327,0.8829995525349683
LBXTC,LBXSCA,Low-Low,95,0.14360095699782022,0.006100821213544557,-1.2177504342872132,-1.9736773688693199,0.04841844008191293,0.031578947368421054,0.08617789650737114,0.8829995525349683
LBXSAPSI,LBXHSCRP,TwoSided,89,0.0988778173673319,0.5546858480387221,0.6068791916488762,1.9582204160593049,0.050204154492886885,0.24719101123595505,0.08424799762681696,0.8829995525349683
BMXBMI,LBDLDL,High-Low,33,0.5262677096599925,-0.019910538263373447,0.8801460758554396,1.938317538766609,0.05258449392236554,0.2727272727272727,0.08506244468482643,0.8829995525349683
LBDHDD,LBXSASSI,TwoSided,106,-0.012183184347441709,0.07769783707773893,0.6896307548138708,1.9238938966394639,0.054367884431025984,0.1509433962264151,0.08498415213946117,0.8829995525349683
LBDHDD,LBXSAPSI,Low-High,63,0.6758364319973136,0.40353038568280736,-0.9653601976980348,-1.9221527518467574,0.05458653999797399,0.07936507936507936,0.08570864976822172,0.8829995525349683
LBXGH,LBXTR,TwoSided,58,0.27916140848696863,0.02765982113626586,0.8373420275807888,1.9196710345333912,0.05489946518770405,0.20689655172413793,0.08497634069400631,0.8829995525349683
LBDLDL,LBXSAL,High-Low,45,0.2808127962244592,0.3576103708611937,-1.4182426282982963,-1.893812480254817,0.05824990450613967,0.044444444444444446,0.08585212168947524,0.8829995525349683
systolic_bp,LBXSAPSI,High-High,125,0.11481258200020099,0.45025342129228396,-0.7004464546058529,-1.8890312274986818,0.05888764449658903,0.08,0.08573980351295028,0.8829995525349683
LBXGH,LBXTC,TwoSided,195,0.48259192255050926,0.13278399362165413,-0.5750481310515734,-1.8782291948474577,0.06034981791879239,0.08205128205128205,0.08573998201259118,0.8829995525349683
LBXGH,LBXTR,High-High,57,0.32818652185361774,0.02592538149052049,0.8151247057099302,1.865896347727305,0.062055868693025554,0.21052631578947367,0.08496796451453918,0.8829995525349683
BMXBMI,LBXHGB,Low-Low,58,-0.03944484790653256,0.14075087513070506,0.7266564721676566,1.8640425543475823,0.06231572862684736,0.1896551724137931,0.08507492113564669,0.8829995525349683
systolic_bp,LBXSCR,High-High,82,0.09531616550633913,0.39561889473462264,-1.050817325353247,-1.860267646677504,0.06284766852333938,0.04878048780487805,0.08596837944664032,0.8829995525349683
LBXTC,LBXHSCRP,Low-High,40,-0.0415580062270911,0.6278342358576696,0.7731591392470177,1.8573057771890085,0.06326766295634131,0.25,0.08502263333989372,0.8829995525349683
LBXTC,LBXSCR,TwoSided,85,0.11800604210698894,0.3961959833176366,-1.0308982195825873,-1.8494867361896827,0.06438756130487046,0.047058823529411764,0.08599387170109717,0.8829995525349683
